央视频道,#genre#
CCTV1,http://39.134.58.74/PLTV/88888888/224/3221226746/index.m3u8?icpid=88888888&from=19&ocs=2_39.135.129.5_80&hms_devid=1524.153&online=1729443969&vqe=3
CCTV2,http://39.134.58.74/PLTV/88888888/224/3221226417/index.m3u8?icpid=88888888&from=19&ocs=2_39.135.129.5_80&hms_devid=1524.153&online=1729443969&vqe=3
CCTV2,http://39.134.58.74/PLTV/88888888/224/3221226468/index.m3u8?icpid=88888888&from=19&ocs=2_39.135.129.5_80&hms_devid=1524.153&online=1729443969&vqe=3
CCTV2,http://39.134.58.74/PLTV/88888888/224/3221226929/index.m3u8?icpid=88888888&from=19&ocs=2_39.135.129.5_80&hms_devid=1524.153&online=1729443969&vqe=3
CCTV2,http://39.134.58.74/PLTV/88888888/224/3221226608/index.m3u8?icpid=88888888&from=19&ocs=2_39.135.129.5_80&hms_devid=1524.153&online=1729443969&vqe=3
CCTV2,http://39.134.58.74/PLTV/88888888/224/3221226843/index.m3u8?icpid=88888888&from=19&ocs=2_39.135.129.5_80&hms_devid=1524.153&online=1729443969&vqe=3
CCTV2,http://39.134.58.74/PLTV/88888888/224/3221226980/index.m3u8?icpid=88888888&from=19&ocs=2_39.135.129.5_80&hms_devid=1524.153&online=1729443969&vqe=3
CCTV3,http://39.134.58.74/PLTV/88888888/224/3221226898/index.m3u8?icpid=88888888&from=19&ocs=2_39.135.129.5_80&hms_devid=1524.153&online=1729443969&vqe=3
CCTV4,http://39.134.58.74/PLTV/88888888/224/3221226432/index.m3u8?icpid=88888888&from=19&ocs=2_39.135.129.5_80&hms_devid=1524.153&online=1729443969&vqe=3
CCTV4,http://39.134.58.74/PLTV/88888888/224/3221226995/index.m3u8?icpid=88888888&from=19&ocs=2_39.135.129.5_80&hms_devid=1524.153&online=1729443969&vqe=3
CCTV4,http://39.134.58.74/PLTV/88888888/224/3221226517/index.m3u8?icpid=88888888&from=19&ocs=2_39.135.129.5_80&hms_devid=1524.153&online=1729443969&vqe=3
CCTV4,http://39.134.58.74/PLTV/88888888/224/3221226636/index.m3u8?icpid=88888888&from=19&ocs=2_39.135.129.5_80&hms_devid=1524.153&online=1729443969&vqe=3
CCTV4,http://39.134.58.74/PLTV/88888888/224/3221226845/index.m3u8?icpid=88888888&from=19&ocs=2_39.135.129.5_80&hms_devid=1524.153&online=1729443969&vqe=3
CCTV5,http://39.134.58.74/PLTV/88888888/224/3221226900/index.m3u8?icpid=88888888&from=19&ocs=2_39.135.129.5_80&hms_devid=1524.153&online=1729443969&vqe=3
CCTV5+,http://39.134.58.74/PLTV/88888888/224/3221226445/index.m3u8?icpid=88888888&from=19&ocs=2_39.135.129.5_80&hms_devid=1524.153&online=1729443969&vqe=3
CCTV5+,http://39.134.58.74/PLTV/88888888/224/3221226611/index.m3u8?icpid=88888888&from=19&ocs=2_39.135.129.5_80&hms_devid=1524.153&online=1729443969&vqe=3
CCTV5+,http://39.134.58.74/PLTV/88888888/224/3221226912/index.m3u8?icpid=88888888&from=19&ocs=2_39.135.129.5_80&hms_devid=1524.153&online=1729443969&vqe=3
